TumorSen,TumorSpec,WallSen,WallSpec
0.8431241512298584,0.9997491836547852,0.7077662348747253,0.997677206993103
0.6757263541221619,1.0,0.989649772644043,0.9948194622993469
0.987132728099823,0.9967142939567566,0.6039094924926758,0.9997847676277161
0.6517114043235779,0.9999269247055054,0.9061971306800842,0.9908817410469055
nan,1.0,0.9451900124549866,0.9992446303367615
nan,1.0,0.7868145704269409,1.0
0.9958052039146423,0.9931154251098633,0.2700453996658325,0.9990789890289307
nan,1.0,0.9360513091087341,0.9980918169021606
0.5838378667831421,0.9998335838317871,nan,0.9931755065917969
0.9760152697563171,0.9967153668403625,0.4785478413105011,0.998755931854248
0.9346703290939331,0.9984989166259766,0.6553191542625427,0.9951778650283813
nan,1.0,0.7642112374305725,0.9851102828979492
nan,1.0,0.89958655834198,0.9981604218482971
0.9371554851531982,0.9967196583747864,0.8583148717880249,0.9985328316688538
0.9921903014183044,0.9926733374595642,0.6789699792861938,0.9996137619018555
0.9842617511749268,0.9954759478569031,0.9899736046791077,0.9978320002555847
0.9507860541343689,0.9976612329483032,0.9104196429252625,0.9805986881256104
nan,1.0,0.7411620020866394,0.9957873225212097
nan,1.0,0.7945038080215454,0.9989029169082642
0.8638690114021301,0.9986227750778198,0.47480618953704834,0.9987603425979614
nan,1.0,0.8652631640434265,0.9959839582443237
nan,1.0,0.7681537866592407,0.9999147057533264
nan,1.0,0.9843725562095642,0.9890145063400269
nan,1.0,0.645048201084137,0.9945703148841858
nan,1.0,0.9185971617698669,0.9993436932563782
nan,1.0,0.9782152771949768,0.9962137937545776
nan,1.0,0.974579393863678,0.9976890087127686
0.9836522936820984,0.9983199238777161,nan,1.0
nan,1.0,0.9655442237854004,0.9994221925735474
nan,1.0,nan,1.0
0.9778657555580139,0.9975525140762329,0.9380485415458679,0.9961300492286682
nan,0.998109757900238,0.9462365508079529,0.99226313829422
0.9063400626182556,0.9995802044868469,0.8364622592926025,0.9939221143722534
nan,1.0,0.9989528656005859,0.9977865815162659
0.990750253200531,0.9962322115898132,0.8912116885185242,0.9963780641555786
0.9359815120697021,0.9782170057296753,0.5254320502281189,0.9973487854003906
nan,1.0,0.9536954760551453,0.9986388087272644
nan,1.0,0.5644067525863647,0.999176561832428
nan,1.0,0.8567950129508972,0.9964708685874939
0.9258202314376831,0.998358964920044,0.8295513987541199,0.9939286708831787
0.8634247183799744,0.9968597292900085,0.5101733207702637,0.9990261197090149
nan,1.0,0.9600594639778137,0.996161162853241
0.9431871771812439,0.9984140992164612,0.8401666283607483,0.9978183507919312
0.9193785190582275,0.9857603907585144,0.0,1.0
0.9793936014175415,0.9941371083259583,0.5969226360321045,0.9951627254486084
0.0,1.0,0.9684078693389893,0.9969260096549988
nan,1.0,0.8729965686798096,0.9989625215530396
nan,1.0,0.9454618096351624,0.9965575933456421
nan,1.0,0.9157894849777222,0.998201847076416
0.0,1.0,0.8905266523361206,0.9732505083084106
nan,1.0,nan,1.0
0.9462939500808716,0.9985690712928772,nan,1.0
nan,1.0,0.9246996641159058,0.9992038011550903
nan,1.0,0.8666434288024902,0.9984009265899658
nan,1.0,1.0,0.9942178726196289
nan,1.0,0.709876537322998,0.9997109174728394
0.9761579632759094,0.9964006543159485,nan,1.0
0.8881723880767822,0.997634768486023,0.5520952343940735,0.9813711047172546
nan,1.0,0.9730290174484253,0.9997398853302002
0.7161760926246643,0.9923097491264343,nan,0.9956779479980469
0.2872062623500824,0.9895133376121521,0.5274280309677124,0.9976018071174622
0.9482213258743286,0.9993153810501099,nan,1.0
0.9287196397781372,0.9976271986961365,0.0,1.0
